family,precision,recall,f1-score,support
mesoniviridae,0.0,0.0,0.0,4
leisingerviridae,0.0,0.0,0.0,2
kolmioviridae,0.0,0.0,0.0,1
iflaviridae,0.0,0.0,0.0,2
hytrosaviridae,0.0,0.0,0.0,6
hadakaviridae,0.0,0.0,0.0,1
haloferuviridae,0.0,0.0,0.0,6
halomagnusviridae,0.0,0.0,0.0,6
hepadnaviridae,0.0,0.0,0.0,1
kitaviridae,0.0,0.0,0.0,3
megabirnaviridae,0.0,0.0,0.0,1
maviroviridae,0.0,0.0,0.0,4
lispiviridae,0.0,0.0,0.0,2
madridviridae,0.0,0.0,0.0,1
madisaviridae,0.0,0.0,0.0,1
marnaviridae,0.0,0.0,0.0,1
matonaviridae,0.0,0.0,0.0,1
pervagoviridae,0.0,0.0,0.0,8
paulinoviridae,0.0,0.0,0.0,1
nyamiviridae,0.0,0.0,0.0,3
pachyviridae,0.0,0.0,0.0,11
mymonaviridae,0.0,0.0,0.0,5
molycolviridae,0.0,0.0,0.0,21
naomviridae,0.0,0.0,0.0,3
nanoviridae,0.0,0.0,0.0,2
polycipiviridae,0.0,0.0,0.0,1
pootjesviridae,0.0,0.0,0.0,72
plectroviridae,0.0,0.0,0.0,1
pleolipoviridae,0.0,0.0,0.0,7
pungoviridae,0.0,0.0,0.0,2
redondoviridae,0.0,0.0,0.0,1
roniviridae,0.0,0.0,0.0,1
pyrstoviridae,0.0,0.0,0.0,2
simuloviridae,0.0,0.0,0.0,2
schizomimiviridae,0.0,0.0,0.0,5
saparoviridae,0.0,0.0,0.0,4
saffermanviridae,0.0,0.0,0.0,10
quadriviridae,0.0,0.0,0.0,1
sinhaliviridae,0.0,0.0,0.0,2
soleiviridae,0.0,0.0,0.0,3
solspiviridae,0.0,0.0,0.0,1
suolaviridae,0.0,0.0,0.0,1
tymoviridae,0.0,0.0,0.0,4
turriviridae,0.0,0.0,0.0,1
tristromaviridae,0.0,0.0,0.0,2
verdandiviridae,0.0,0.0,0.0,2
winoviridae,0.0,0.0,0.0,8
yaraviridae,0.0,0.0,0.0,2
xinmoviridae,0.0,0.0,0.0,5
